galaxyName,B,u,g,r,i,z,J,H,K,all
PGC047728,[],[],[],[],[],[],"[('J_14arcsec (2MASS)', 12.058999999999999, '+/-0.011', 'mag', 240000000000000.0, 0.023900000000000001, '+/-2.43E-04', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.25      microns', 'Broad-band measurement', 'Flux in fixed aperture', '14.0 x 14.0 arcsec aperture.', 'From new raw data')]","[('H_14arcsec (2MASS)', 11.269, '+/-0.011', 'mag', 182000000000000.0, 0.031800000000000002, '+/-3.24E-04', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.65      microns', 'Broad-band measurement', 'Flux in fixed aperture', '14.0 x 14.0 arcsec aperture.', 'From new raw data')]","[('K_s_14arcsec (2MASS)', 10.992000000000001, '+/-0.017', 'mag', 138000000000000.0, 0.026700000000000002, '+/-4.22E-04', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '2.17      microns', 'Broad-band measurement', 'Flux in fixed aperture', '14.0 x 14.0 arcsec aperture.', 'From new raw data')]","[('J', 10.749000000000001, '+/-0.032', 'mag', 240000000000000.0, 0.079899999999999999, '+/-2.39E-03', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.25      microns', 'Broad-band measurement', 'Flux in fixed aperture', '96.0 x   42.2 arcsec integration area.', 'From new raw data'), ('J', 10.523999999999999, '+/-0.030', 'mag', 240000000000000.0, 0.098299999999999998, '+/-2.75E-03', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.25      microns', 'Broad-band measurement', 'Flux in fixed aperture', '', 'From new raw data'), ('J_14arcsec (2MASS)', 12.058999999999999, '+/-0.011', 'mag', 240000000000000.0, 0.023900000000000001, '+/-2.43E-04', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.25      microns', 'Broad-band measurement', 'Flux in fixed aperture', '14.0 x 14.0 arcsec aperture.', 'From new raw data'), ('H', 10.003, '+/-0.033', 'mag', 182000000000000.0, 0.10199999999999999, '+/-3.15E-03', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.65      microns', 'Broad-band measurement', 'Flux in fixed aperture', '96.0 x   42.2 arcsec integration area.', 'From new raw data'), ('H', 9.7409999999999997, '+/-0.030', 'mag', 182000000000000.0, 0.13, '+/-3.64E-03', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.65      microns', 'Broad-band measurement', 'Flux in fixed aperture', '', 'From new raw data'), ('H_14arcsec (2MASS)', 11.269, '+/-0.011', 'mag', 182000000000000.0, 0.031800000000000002, '+/-3.24E-04', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '1.65      microns', 'Broad-band measurement', 'Flux in fixed aperture', '14.0 x 14.0 arcsec aperture.', 'From new raw data'), ('K_s', 9.8010000000000002, '+/-0.058', 'mag', 138000000000000.0, 0.080100000000000005, '+/-4.39E-03', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '2.17      microns', 'Broad-band measurement', 'Flux in fixed aperture', '96.0 x   42.2 arcsec integration area.', 'From new raw data'), ('K_s', 9.593, '+/-0.053', 'mag', 138000000000000.0, 0.097000000000000003, '+/-4.85E-03', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '2.17      microns', 'Broad-band measurement', 'Flux in fixed aperture', '', 'From new raw data'), ('K_s_14arcsec (2MASS)', 10.992000000000001, '+/-0.017', 'mag', 138000000000000.0, 0.026700000000000002, '+/-4.22E-04', 'Jy', '20032MASX.C.......:', '1 sigma uncert.', '2.17      microns', 'Broad-band measurement', 'Flux in fixed aperture', '14.0 x 14.0 arcsec aperture.', 'From new raw data')]"
PGC044681,[],[],[],[],[],[],[],[],[],"[('FUV (GALEX) AB', 19.010400000000001, '+/-0.0919612', 'mag', 1950000000000000.0, 9.0299999999999999e-05, '+/-7.65E-06', 'Jy', '2012GASC..C...0000S', 'uncertainty', '1538.6     A', 'Broad-band measurement', 'Flux integrated from map', 'Kron flux in elliptical aperture', 'From new raw data'), ('FUV (GALEX) AB', 22.022200000000002, '+/-0.364153', 'mag', 1950000000000000.0, 5.6400000000000002e-06, '+/-1.89E-06', 'Jy', '2012GASC..C...0000S', 'uncertainty', '1538.6     A', 'Broad-band measurement', 'Flux in fixed aperture', 'Flux in 7.5 arcsec diameter aperture', 'From new raw data'), ('NUV (GALEX) AB', 19.116399999999999, '+/-0.0779808', 'mag', 1290000000000000.0, 8.1899999999999999e-05, '+/-5.88E-06', 'Jy', '2012GASC..C...0000S', 'uncertainty', '2315.7     A', 'Broad-band measurement', 'Flux integrated from map', 'Kron flux in elliptical aperture', 'From new raw data'), ('NUV (GALEX) AB', 22.529399999999999, '+/-0.288587', 'mag', 1290000000000000.0, 3.5300000000000001e-06, '+/-9.39E-07', 'Jy', '2012GASC..C...0000S', 'uncertainty', '2315.7     A', 'Broad-band measurement', 'Flux in fixed aperture', 'Flux in 7.5 arcsec diameter aperture', 'From new raw data'), ('HI line (Parkes)', 5.0, '', 'Jy km s^-1^', 1420000000.0, 23600.0, '', 'Jy-Hz', '2005MNRAS.361...34D', 'no uncertainty reported', '825.9      km s^-1^', 'Line measurement; flux integrated over line; lines measured in emission', 'Flux integrated from map', '', 'Averaged from previously published data'), ('HI (21 cm) (Parkes)', 4.5, '+/-0.2', 'Jy km/s', 1420000000.0, 21200.0, '+/-9.41E+02', 'Jy-Hz', '2011ApJS..197...28P', 'uncertainty', '1.4 GHz', 'Line measurement; flux integrated over line; lines measured in emission', 'Flux integrated from map', '', 'From new raw data'), ('HI 21cm line Parkes', 5.9000000000000004, '+/-1.9', 'Jy km/s', 1420000000.0, 27800.0, '+/-8.94E+03', 'Jy-Hz', '2004AJ....128...16K', 'uncertainty', '828   km s^-1^', 'Line measurement; flux integrated over line', 'Flux integrated from map', '', 'From new raw data')]"
