oldName,freqTargeted,diameters,dRatio,pa,completeList
2MASXJ13094664-5753480,"K_s (2MASS ""total"")","(37.299999999999997, 28.350000000000001)",0.76000000000000001,95,"[['K_s (2MASS isophotal)', (18.600000000000001, 14.140000000000001), 0.76000000000000001, 95], ['K_s (2MASS ""total"")', (37.299999999999997, 28.350000000000001), 0.76000000000000001, 95]]"
2MASXJ13105161-5804479,"K_s (2MASS ""total"")","(33.299999999999997, 22.640000000000001)",0.68000000000000005,40,"[['K_s (2MASS isophotal)', (17.399999999999999, 11.83), 0.68000000000000005, 40], ['K_s (2MASS ""total"")', (33.299999999999997, 22.640000000000001), 0.68000000000000005, 40]]"
PGC003154,"K_s (2MASS ""total"")","(80.200000000000003, 19.25)",0.23999999999999999,65,"[['K_s (2MASS isophotal)', (51.799999999999997, 12.43), 0.23999999999999999, 65], ['K_s (2MASS ""total"")', (80.200000000000003, 19.25), 0.23999999999999999, 65], ['ESO-Uppsala ""Quick Blue"" IIa-O', (60.0, 12.0), 0.20000000000000001, 61], ['ESO-LV ""Quick Blue"" IIa-O', (66.069999999999993, 330.35000000000002), 0.20000000000000001, 61], ['ESO-LV ""Quick Blue"" IIa-O', (82.219999999999999, 411.10000000000002), 0.20000000000000001, 61], ['ESO-LV ""Quick Blue"" IIa-O', (98.859999999999999, 494.30000000000001), 0.20000000000000001, 61], ['ESO-LV ""Quick Blue"" IIa-O', (39.359999999999999, 196.80000000000001), 0.20000000000000001, 61], ['ESO-LV ""Quick Blue"" IIa-O', (46.770000000000003, 233.84999999999999), 0.20000000000000001, 61], ['ESO-LV ""Quick Blue"" IIa-O', (61.659999999999997, 308.30000000000001), 0.20000000000000001, 61], ['ESO-LV ""Quick Blue"" IIa-O', (29.510000000000002, 147.55000000000001), 0.20000000000000001, 61], ['ESO-LV ""Quick Blue"" IIa-O', (18.620000000000001, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (9.1600000000000001, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (19.780000000000001, 110.5), 0.17999999999999999, 58], ['ESO-LV IIIa-F', (13.58, None), None, None]]"
2MASXJ03030449+2733462,"K_s (2MASS ""total"")","(23.899999999999999, 20.079999999999998)",0.83999999999999997,155,"[['K_s (2MASS isophotal)', (13.199999999999999, 11.09), 0.83999999999999997, 155], ['K_s (2MASS ""total"")', (23.899999999999999, 20.079999999999998), 0.83999999999999997, 155]]"
2MASXJ06202388-6353506,"K_s (2MASS ""total"")","(50.700000000000003, 23.32)",0.46000000000000002,10,"[['K_s (2MASS isophotal)', (29.399999999999999, 13.52), 0.46000000000000002, 10], ['K_s (2MASS ""total"")', (50.700000000000003, 23.32), 0.46000000000000002, 10]]"
2MASXJ13112359-5755471,"K_s (2MASS ""total"")","(14.699999999999999, 11.76)",0.80000000000000004,40,"[['K_s (2MASS isophotal)', (14.6, 11.68), 0.80000000000000004, 40], ['K_s (2MASS ""total"")', (14.699999999999999, 11.76), 0.80000000000000004, 40]]"
2MASXJ13104152-5805140,"K_s (2MASS ""total"")","(31.300000000000001, 21.91)",0.69999999999999996,60,"[['K_s (2MASS isophotal)', (15.6, 10.92), 0.69999999999999996, 60], ['K_s (2MASS ""total"")', (31.300000000000001, 21.91), 0.69999999999999996, 60]]"
PGC013393,"K_s (2MASS ""total"")","(58.399999999999999, 22.190000000000001)",0.38,110,"[['K_s (2MASS isophotal)', (33.0, 12.539999999999999), 0.38, 110], ['K_s (2MASS ""total"")', (58.399999999999999, 22.190000000000001), 0.38, 110], ['ESO-Uppsala ""Quick Blue"" IIa-O', (60.0, 30.0), 0.5, 127], ['ESO-LV ""Quick Blue"" IIa-O', (51.880000000000003, 103.76000000000001), 0.5, 127], ['ESO-LV ""Quick Blue"" IIa-O', (64.569999999999993, 129.13999999999999), 0.5, 127], ['ESO-LV ""Quick Blue"" IIa-O', (74.129999999999995, 148.25999999999999), 0.5, 127], ['ESO-LV ""Quick Blue"" IIa-O', (37.149999999999999, 74.299999999999997), 0.5, 127], ['ESO-LV ""Quick Blue"" IIa-O', (44.159999999999997, 88.319999999999993), 0.5, 127], ['ESO-LV ""Quick Blue"" IIa-O', (54.950000000000003, 109.90000000000001), 0.5, 127], ['ESO-LV ""Quick Blue"" IIa-O', (26.920000000000002, 53.840000000000003), 0.5, 127], ['ESO-LV ""Quick Blue"" IIa-O', (19.050000000000001, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (7.2800000000000002, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (10.23, 15.81), 0.65000000000000002, 128], ['ESO-LV IIIa-F', (8.6500000000000004, None), None, None]]"
2MFGC12885,"K_s (2MASS ""total"")","(74.900000000000006, 25.469999999999999)",0.34000000000000002,80,"[['K_s (2MASS isophotal)', (47.0, 15.98), 0.34000000000000002, 80], ['K_s (2MASS ""total"")', (74.900000000000006, 25.469999999999999), 0.34000000000000002, 80]]"
2MASXJ14015457-5658379,"K_s (2MASS ""total"")","(35.200000000000003, 19.710000000000001)",0.56000000000000005,175,"[['K_s (2MASS isophotal)', (19.0, 10.640000000000001), 0.56000000000000005, 175], ['K_s (2MASS ""total"")', (35.200000000000003, 19.710000000000001), 0.56000000000000005, 175]]"
PGC009864,"K_s (2MASS ""total"")","(92.299999999999997, 35.07)",0.38,95,"[['K_s (2MASS isophotal)', (61.600000000000001, 23.41), 0.38, 95], ['K_s (2MASS ""total"")', (92.299999999999997, 35.07), 0.38, 95], ['ESO-Uppsala ""Quick Blue"" IIa-O', (60.0, 12.0), 0.20000000000000001, 101], ['ESO-LV ""Quick Blue"" IIa-O', (93.329999999999998, 466.64999999999998), 0.20000000000000001, 101], ['ESO-LV ""Quick Blue"" IIa-O', (120.23, 601.14999999999998), 0.20000000000000001, 101], ['ESO-LV ""Quick Blue"" IIa-O', (151.40000000000001, 757.0), 0.20000000000000001, 100], ['ESO-LV ""Quick Blue"" IIa-O', (151.36000000000001, 756.79999999999995), 0.20000000000000001, 101], ['ESO-LV ""Quick Blue"" IIa-O', (47.32, 236.59999999999999), 0.20000000000000001, 101], ['ESO-LV ""Quick Blue"" IIa-O', (60.259999999999998, 301.30000000000001), 0.20000000000000001, 101], ['ESO-LV ""Quick Blue"" IIa-O', (84.140000000000001, 420.69999999999999), 0.20000000000000001, 101], ['ESO-LV ""Quick Blue"" IIa-O', (30.899999999999999, 154.5), 0.20000000000000001, 101], ['ESO-LV ""Quick Blue"" IIa-O', (16.030000000000001, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (8.5700000000000003, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (0.77000000000000002, 2.1699999999999999), 0.34999999999999998, 99], ['ESO-LV IIIa-F', (0.12, None), None, None]]"
[CWF2012]J327.594666-05.74865,x,"('x', 'x')",x,x,['x']
2MASXiJ2041593-152751,x,"('x', 'x')",x,x,['x']
PGC060828,"K_s (2MASS ""total"")","(104.09999999999999, 54.130000000000003)",0.52000000000000002,95,"[['K_s (2MASS isophotal)', (59.200000000000003, 30.780000000000001), 0.52000000000000002, 95], ['K_s (2MASS ""total"")', (104.09999999999999, 54.130000000000003), 0.52000000000000002, 95], ['ESO-Uppsala ""Quick Blue"" IIa-O', (66.0, 48.0), 0.72999999999999998, 91]]"
QP131,"K_s (2MASS ""total"")","(62.100000000000001, 22.359999999999999)",0.35999999999999999,20,"[['K_s (2MASS isophotal)', (37.799999999999997, 13.609999999999999), 0.35999999999999999, 20], ['K_s (2MASS ""total"")', (62.100000000000001, 22.359999999999999), 0.35999999999999999, 20]]"
6dFJ2117218-355401,x,"('x', 'x')",x,x,['x']
SOS185924,x,"('x', 'x')",x,x,['x']
UGC02608S,x,"('x', 'x')",x,x,['x']
