oldName,freqTargeted,diameters,dRatio,pa,completeList
PGC001452,"K_s (2MASS ""total"")","(76.900000000000006, 58.439999999999998)",0.76000000000000001,50,"[['K_s (2MASS isophotal)', (41.200000000000003, 31.309999999999999), 0.76000000000000001, 50], ['K_s (2MASS ""total"")', (76.900000000000006, 58.439999999999998), 0.76000000000000001, 50], ['ESO-Uppsala ""Quick Blue"" IIa-O', (78.0, 66.0), 0.84999999999999998, 47], ['ESO-LV ""Quick Blue"" IIa-O', (71.609999999999999, 84.650000000000006), 0.84999999999999998, 47], ['ESO-LV ""Quick Blue"" IIa-O', (93.329999999999998, 110.31999999999999), 0.84999999999999998, 47], ['ESO-LV ""Quick Blue"" IIa-O', (109.65000000000001, 129.61000000000001), 0.84999999999999998, 47], ['ESO-LV ""Quick Blue"" IIa-O', (41.210000000000001, 48.710000000000001), 0.84999999999999998, 47], ['ESO-LV ""Quick Blue"" IIa-O', (51.289999999999999, 60.630000000000003), 0.84999999999999998, 47], ['ESO-LV ""Quick Blue"" IIa-O', (69.980000000000004, 82.719999999999999), 0.84999999999999998, 47], ['ESO-LV ""Quick Blue"" IIa-O', (29.850000000000001, 35.280000000000001), 0.84999999999999998, 47], ['ESO-LV ""Quick Blue"" IIa-O', (27.539999999999999, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (8.4800000000000004, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (14.369999999999999, 17.359999999999999), 0.82999999999999996, 45], ['ESO-LV IIIa-F', (12.5, None), None, None], ['RC3 D_25, R_25 (blue)', (75.5, 61.380000000000003), 0.81000000000000005, 47], ['RC3 D_0 (blue)', (75.5, None), None, None]]"
IRAS20168-0528,"K_s (2MASS ""total"")","(86.5, 41.520000000000003)",0.47999999999999998,105,"[['K_s (2MASS isophotal)', (56.799999999999997, 27.260000000000002), 0.47999999999999998, 105], ['K_s (2MASS ""total"")', (86.5, 41.520000000000003), 0.47999999999999998, 105]]"
RR242:[GTR2007]23187,x,"('x', 'x')",x,x,['x']
GALEXASCJ222437.85-273358.0,x,"('x', 'x')",x,x,['x']
SDSSJ150804.21+551954.0,r (SDSS Isophotal),"(24.0, 20.920000000000002)",0.87,172,"[['r (SDSS Isophotal)', (24.0, 20.920000000000002), 0.87, 172], ['r (SDSS Petrosian)', (11.800000000000001, None), None, None], ['r (SDSS de Vaucouleurs)', (18.829999999999998, 16.140000000000001), 0.85999999999999999, 91], ['r (SDSS Exponential)', (5.4100000000000001, 4.6600000000000001), 0.85999999999999999, 91]]"
PGC031645,"ESO-LV ""Quick Blue"" IIa-O","(22.0, 96.920000000000002)",0.23000000000000001,43,"[['ESO-Uppsala ""Quick Blue"" IIa-O', (60.0, 6.0), 0.10000000000000001, 42], ['ESO-LV ""Quick Blue"" IIa-O', (66.069999999999993, 660.70000000000005), 0.10000000000000001, 42], ['ESO-LV ""Quick Blue"" IIa-O', (92.260000000000005, 922.60000000000002), 0.10000000000000001, 42], ['ESO-LV ""Quick Blue"" IIa-O', (114.81999999999999, 1148.2), 0.10000000000000001, 42], ['ESO-LV ""Quick Blue"" IIa-O', (66.069999999999993, 660.70000000000005), 0.10000000000000001, 42], ['ESO-LV ""Quick Blue"" IIa-O', (78.519999999999996, 785.20000000000005), 0.10000000000000001, 42], ['ESO-LV ""Quick Blue"" IIa-O', (96.609999999999999, 966.10000000000002), 0.10000000000000001, 42], ['ESO-LV ""Quick Blue"" IIa-O', (48.420000000000002, 484.19999999999999), 0.10000000000000001, 42], ['ESO-LV ""Quick Blue"" IIa-O', (24.27, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (22.0, 96.920000000000002), 0.23000000000000001, 43], ['ESO-LV IIIa-F', (20.43, None), None, None]]"
MCG-04-30-013,"K_s (2MASS ""total"")","(55.299999999999997, 26.539999999999999)",0.47999999999999998,15,"[['K_s (2MASS isophotal)', (30.0, 14.4), 0.47999999999999998, 15], ['K_s (2MASS ""total"")', (55.299999999999997, 26.539999999999999), 0.47999999999999998, 15], ['POSS1 103a-O', (48.0, 24.0), 0.5, None], ['ESO-Uppsala ""Quick Blue"" IIa-O', (90.0, 42.0), 0.46999999999999997, 9], ['ESO-LV ""Quick Blue"" IIa-O', (58.880000000000003, 126.08), 0.46999999999999997, 9], ['ESO-LV ""Quick Blue"" IIa-O', (79.430000000000007, 170.09), 0.46999999999999997, 9], ['ESO-LV ""Quick Blue"" IIa-O', (101.16, 216.62), 0.46999999999999997, 9], ['ESO-LV ""Quick Blue"" IIa-O', (42.170000000000002, 90.299999999999997), 0.46999999999999997, 9], ['ESO-LV ""Quick Blue"" IIa-O', (51.880000000000003, 111.09), 0.46999999999999997, 9], ['ESO-LV ""Quick Blue"" IIa-O', (73.280000000000001, 156.91999999999999), 0.46999999999999997, 9], ['ESO-LV ""Quick Blue"" IIa-O', (31.989999999999998, 68.5), 0.46999999999999997, 9], ['ESO-LV ""Quick Blue"" IIa-O', (22.91, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (12.550000000000001, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (15.99, 36.670000000000002), 0.44, 21], ['ESO-LV IIIa-F', (11.01, None), None, None]]"
IC4736,"K_s (2MASS ""total"")","(68.200000000000003, 55.920000000000002)",0.81999999999999995,40,"[['K_s (2MASS isophotal)', (33.0, 16.5), 0.5, 115], ['K_s (2MASS isophotal)', (31.600000000000001, 25.91), 0.81999999999999995, 40], ['K_s (2MASS ""total"")', (33.0, 16.5), 0.5, 115], ['K_s (2MASS ""total"")', (68.200000000000003, 55.920000000000002), 0.81999999999999995, 40], ['ESO-Uppsala ""Quick Blue"" IIa-O', (144.0, 78.0), 0.54000000000000004, 98], ['ESO-LV ""Quick Blue"" IIa-O', (89.129999999999995, 164.44999999999999), 0.54000000000000004, 98], ['ESO-LV ""Quick Blue"" IIa-O', (113.5, 209.41), 0.54000000000000004, 98], ['ESO-LV ""Quick Blue"" IIa-O', (133.34999999999999, 246.03), 0.54000000000000004, 98], ['ESO-LV ""Quick Blue"" IIa-O', (66.069999999999993, 121.90000000000001), 0.54000000000000004, 98], ['ESO-LV ""Quick Blue"" IIa-O', (79.430000000000007, 146.55000000000001), 0.54000000000000004, 98], ['ESO-LV ""Quick Blue"" IIa-O', (100.0, 184.5), 0.54000000000000004, 98], ['ESO-LV ""Quick Blue"" IIa-O', (44.159999999999997, 81.480000000000004), 0.54000000000000004, 98], ['ESO-LV ""Quick Blue"" IIa-O', (31.989999999999998, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (10.949999999999999, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (7.4000000000000004, 8.3300000000000001), 0.89000000000000001, 88], ['ESO-LV IIIa-F', (6.1600000000000001, None), None, None], ['RC3 D_25, R_25 (blue)', (99.599999999999994, 55.979999999999997), 0.56000000000000005, 98], ['RC3 D_0 (blue)', (117.0, None), None, None]]"
SBS1430+526,r (SDSS Isophotal),"(38.170000000000002, 17.32)",0.45000000000000001,151,"[['r (SDSS Isophotal)', (38.170000000000002, 17.32), 0.45000000000000001, 151], ['r (SDSS Petrosian)', (9.2699999999999996, None), None, None], ['r (SDSS de Vaucouleurs)', (17.640000000000001, 6.1699999999999999), 0.34999999999999998, 154], ['r (SDSS Exponential)', (6.04, 2.2999999999999998), 0.38, 154]]"
2MASXJ23112203-2315247,"K_s (2MASS ""total"")","(35.5, 16.329999999999998)",0.46000000000000002,45,"[['K_s (2MASS isophotal)', (19.199999999999999, 8.8300000000000001), 0.46000000000000002, 45], ['K_s (2MASS ""total"")', (35.5, 16.329999999999998), 0.46000000000000002, 45]]"
