preferredName,NEDname,z,degreesJ2000RA_Dec,J2000RA_Dec,galacticLong_Lat,helioVelocity (km/s),vcorr (km/s),distvcorr (Mpc),zIndependentDist_mean_median_std_min_max (Mpc),bestDistance (Mpc),distErr (Mpc),angDiameters (arcsec),angDiameters_err (arcsec),linDiameters (kpc),linDiameters_err (kpc),inc (deg),adjustedInc (deg),incErr (deg),PA (deg),diameterKey,RC3_type,RC3_d25 (arcsec),RC3_r25,RC3_pa (deg),group_dist_std (Mpc),groupInfo,morphology,distanceIndicator,luminosityClass,E(B-V),B_median,B_median_key,B_max,B_max_key,B_min,B_min_key,B_sdss,g_sdss,r_sdss,z_sdss,Lstar_median,Lstar_median_err,Lstar_max,Lstar_max_err,Lstar_min,Lstar_min_err,Lstar_sdss,Lstar_sdss_err,altNames
SDSSJ105653.41+653956.0,SDSSJ105653.41+653956.0,0.011338,"(164.22258, 65.66558)","((10, 56, 53.4192), (65, 39, 56.088))","(139.93024199999999, 47.505569999999999)",3399,3571.44,50.30199906,"['x', 'x', 'x', 'x', 'x']",50.30,5.03,"(19.34, 8.51)","(0.27, 0.69)","(4.717, 2.075)","(0.54, 0.39)",64.0,66.0,2.0,78,"['r (SDSS Isophotal)', 'r (SDSS deVaucouleurs)', 'r (SDSS deVaucouleurs)']",x,x,x,x,[],[],x,x,x,0.0306,x,x,x,x,x,x,17.7,17.364,17.121,16.884,x,x,x,x,x,x,0.0352,0.0162,"['SDSSJ105653.41+653956.0', 'SDSSJ105653.41+653956.1', 'SDSSJ105653.42+653956.1', 'GALEXASCJ105653.37+653956.7', 'GALEXMSCJ105653.36+653956.9', 'ASK064180.0', 'NSA012777', '[PVK2003]J164.22255+65.66559', '[TTL2012]374212', 'SDSSJ105653.41+653956.4', 'SDSSJ105653.41+653956.0']"
MCG-03-02-013,MCG-03-02-013,0.011339,"(6.3732, -14.55365)","((0, 25, 29.568), (-14, 33, 13.14))","(95.963341999999997, -76.048305999999997)",3399,3099.12,43.649679,"['x', 'x', 'x', 'x', 'x']",43.64,4.36,"(95.81, 12.45)","(1.0, 16.0)","(20.27, 2.636)","(2.3, 3.9)",83.0,90.0,10.0,81,"['POSS1 103a-O', 'POSS1 103a-O', 'RC3 D_25, R_25 (blue)']",.SBS7*/,101.8946191,0.158489319,81,[],[],SB(s)d: sp,x,LC IV,0.0278,15.4,b_J,15.4,b_J,15.4,B_J,x,x,x,x,0.218,0.103,0.218,0.103,0.206,0.0948,x,x,"['MCG-03-02-013', 'APMUKS(BJ)B002257.89-144950.1', 'HIPASSJ0025-14', 'NSA126908', 'PGC001575', 'MCG-03-02-013']"
HIPASSJ1228-38b,2MASXJ12284033-3819015,0.011339,"(187.16796, -38.31706)","((12, 28, 40.3104), (-38, 19, 1.416))","(298.03291999999999, 24.338085)",3399,3586.77,50.51789298,"['x', 'x', 'x', 'x', 'x']",50.51,5.05,"(27.3, 16.93)","(1.4, 0.85)","(6.686, 4.145)","(0.67, 0.41)",52.0,53.0,3.0,55,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']",x,x,x,x,[],[],x,x,x,0.0627,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,"['2MASXJ12284033-3819015', '2MASXJ12284033-3819015ID', 'HIPASSJ1228-38b', '2MASXJ12284033-3819015']"
PGC001452,ESO194-G013,0.011341,"(5.65858, -48.58114)","((0, 22, 38.0592), (-48, 34, 52.104))","(315.62700599999999, -67.830906999999996)",3400,3156.25,44.45426676,"['x', 'x', 'x', 'x', 'x']",44.45,4.44,"(76.9, 65.37)","(3.8, 3.3)","(16.57, 14.09)","(1.7, 1.4)",32.0,33.0,7.0,50,"['K_s (2MASS ""total"")', 'ESO-LV ""Quick Blue"" IIa-O', 'K_s (2MASS ""total"")']",.SXR6..,75.53552471,0.812830516,47,[],[],SAB(r)c,x,LC III-IV,0.0156,14.0,B (m_B),13.6,b_J,14.1,B (Cousins) (B_25),x,x,x,x,0.793,0.396,1.13,0.533,0.697,0.326,x,x,"['ESO194-G013', 'ESO002012-4851.5', 'FAIRALL0650', '2MASXJ00223807-4834522', 'SGC002012-4851.5', 'ESO-LV1940130', 'APMBGC194+088-065', 'APMUKS(BJ)B002011.52-485128.3', 'MRSS194-107839', 'PGC001452', 'SUMSSJ002238-483451', 'SCG0018-4854:[PDI2007]E', 'ESO194-G013']"
IRAS20168-0528,2MASXJ20193103-0519231,0.011341,"(304.87942, -5.32308)","((20, 19, 31.0608), (-5, 19, 23.088))","(38.356731000000003, -21.996165999999999)",3400,3256.66,45.86849705,"['x', 'x', 'x', 'x', 'x']",45.86,4.58,"(86.5, 41.52)","(4.3, 2.1)","(19.24, 9.233)","(1.9, 0.92)",61.0,64.0,2.0,105,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']",x,x,x,x,[],[],HII,x,x,0.0673,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,"['2MASXJ20193103-0519231', '2MASXiJ2019311-051922', 'GALEXASCJ201931.00-051921.2', 'IRAS20168-0528', 'IRASF20168-0528', 'AKARIJ2019312-051917', '6dFJ2019311-051923', 'LEDA090358', 'NVSSJ201931-051921', '2MASXJ20193103-0519231']"
RR242:[GTR2007]23187,RR242:[GTR2007]23187,0.011341,"(200.38754, -43.66194)","((13, 21, 33.0096), (-43, 39, 42.984))","(308.680429, 18.873494999999998)",3400,3559.23,50.13000677,"['x', 'x', 'x', 'x', 'x']",50.13,5.01,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']",x,x,x,x,[],[],SB0,x,x,0.1238,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,"['RR242:[GTR2007]23187', 'RR242:[GTR2007]23187']"
GALEXASCJ222437.85-273358.0,GALEXASCJ222437.85-273358.0,0.011342,"(336.15768, -27.56584)","((22, 24, 37.8432), (-27, 33, 57.024))","(23.52525, -57.518546999999998)",3400,3145.88,44.30823303,"['x', 'x', 'x', 'x', 'x']",44.30,4.43,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']",x,x,x,x,[],[],x,x,x,0.0163,19.5,b_J,19.5,b_J,19.5,b_J,x,x,x,x,0.00498,0.00236,0.00498,0.00236,0.00498,0.00236,x,x,"['GALEXASCJ222437.85-273358.0', 'GALEXMSCJ222437.82-273356.8', '2dFGRSS179Z093', 'APMUKS(BJ)B222149.70-274911.4', 'MRSS467-030658', 'LEDA3221270', 'GALEXASCJ222437.85-273358.0']"
SDSSJ150804.21+551954.0,SDSSJ150804.21+551954.0,0.011342,"(227.01754, 55.33167)","((15, 8, 4.2096), (55, 19, 54.012))","(91.242925, 52.555664)",3400,3582.19,50.45342418,"['x', 'x', 'x', 'x', 'x']",50.45,5.04,"(25.64, 22.05)","(0.3, 0.4)","(6.273, 5.395)","(0.71, 0.65)",31.0,31.0,2.0,172,"['r (SDSS Isophotal)', 'r (SDSS de Vaucouleurs)', 'r (SDSS Isophotal)']",x,x,x,x,[],[],x,x,x,0.0119,x,x,x,x,x,x,17.2,16.876,16.573,16.47,x,x,x,x,x,x,0.0517,0.0238,"['SDSSJ150804.21+551954.0', 'SDSSJ150804.22+551953.9', 'ASK161543.0', 'NSA028352', '[TTL2012]359670', 'SDSSJ150804.24+551954.1', 'SDSSJ150804.21+551954.0']"
PGC031645,ESO437-G026,0.011344,"(159.67633, -28.26057)","((10, 38, 42.3192), (-28, 15, 38.052))","(270.459992, 26.114746)",3401,3598.45,50.68249313,"['x', 'x', 'x', 'x', 'x']",50.68,5.06,"(82.84, 8.284)","(3.1, 10.0)","(20.36, 2.036)","(2.9, 3.0)",84.0,90.0,7.0,42,"['ESO-LV ""Quick Blue"" IIa-O', 'ESO-LV ""Quick Blue"" IIa-O', 'ESO-LV ""Quick Blue"" IIa-O']",x,x,x,x,[],[],Sd,x,x,0.051,17.5,B (Cousins) (B_26),17.4,B (Cousins) (B_T),17.8,B (Cousins) (B_25),x,x,x,x,0.0437,0.0205,0.0498,0.0233,0.0348,0.0163,x,x,"['ESO437-G026', 'ESO103621-2800.0', 'FGCE0831', 'RFGC1850', 'GALEXASCJ103842.38-281535.9', 'ESO-LV4370260', 'PGC031645', 'ABELL1060:[R89]398', 'ABELL1060:[CZ2003]A0494[059]', 'ESO437-G026']"
MCG-04-30-013,ESO507-G006,0.011344,"(191.14292, -24.27525)","((12, 44, 34.3008), (-24, 16, 30.9))","(300.93042800000001, 38.569848)",3401,3639.16,51.25578454,"['x', 'x', 'x', 'x', 'x']",51.25,5.12,"(55.3, 26.54)","(2.8, 1.3)","(13.74, 6.596)","(1.4, 0.66)",61.0,64.0,2.0,15,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']",x,x,x,x,[],[],Sab,x,x,0.08,15.3,B (Cousins) (B_26),15.2,B (Cousins) (B_T),15.3,B (Cousins) (B_25),x,x,x,x,0.39,0.182,0.423,0.198,0.355,0.166,x,x,"['ESO507-G006', 'ESO124155-2400.2', 'MCG-04-30-013', 'LCSBS1756O', '2MASXJ12443430-2416309', '2MASXiJ1244342-241631', 'ESO-LV5070060', '6dFJ1244342-241631', '6dFJ1244343-241631', 'GSC668400338', 'PGC042905', 'PGC042923', 'ESO507-G006']"
