preferredName,NEDname,z,degreesJ2000RA_Dec,J2000RA_Dec,galacticLong_Lat,helioVelocity (km/s),vcorr (km/s),distvcorr (Mpc),zIndependentDist_mean_median_std_min_max (Mpc),bestDistance (Mpc),distErr (Mpc),angDiameters (arcsec),angDiameters_err (arcsec),linDiameters (kpc),linDiameters_err (kpc),inc (deg),adjustedInc (deg),incErr (deg),PA (deg),diameterKey,RC3_type,RC3_d25 (arcsec),RC3_r25,RC3_pa (deg),group_dist_std (Mpc),groupInfo,morphology,distanceIndicator,luminosityClass,E(B-V),B_median,B_median_key,B_max,B_max_key,B_min,B_min_key,B_sdss,g_sdss,r_sdss,z_sdss,Lstar_median,Lstar_median_err,Lstar_max,Lstar_max_err,Lstar_min,Lstar_min_err,Lstar_sdss,Lstar_sdss_err,altNames
IC4736,IC4736,0.011344,"(279.66588, -57.89328)","((18, 38, 39.8112), (-57, 53, 35.808))","(337.597419, -21.093548999999999)",3401,3336.30,46.99026796,"[39.756, 37.4, 7.818, 31.0, 55.9]",37.4,7.81,"(68.2, 34.1)","(3.4, 1.7)","(12.37, 6.183)","(2.6, 1.3)",60.0,62.0,2.0,115,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']",.SBS8..,99.57521445,0.562341325,99,[],[],SB(s)dm,TF,LC IV-V,0.0741,14.6,B (Cousins) (B_T),14.0,B_J,14.8,B (Cousins) (B_25),x,x,x,x,0.371,0.359,0.626,0.603,0.317,0.307,x,x,"['IC4736', 'ESO140-G034', 'ESO183420-5756.3', '2MASXJ18383941-5753423', '2MASXJ18383982-5753357', 'IRASF18343-5756', 'SGC183420-5756.3', 'ESO-LV1400340', 'AGC032005', 'HIPASSJ1838-57', 'PGC062181', 'IC4736']"
SBS1430+526,SBS1430+526,0.011344,"(218.13975, 52.41289)","((14, 32, 33.54), (52, 24, 46.404))","(93.073172, 58.452606000000003)",3401,3606.50,50.79587352,"['x', 'x', 'x', 'x', 'x']",50.79,5.07,"(40.29, 18.13)","(0.38, 0.73)","(9.921, 4.465)","(1.1, 0.64)",63.0,66.0,1.0,151,"['r (SDSS Isophotal)', 'r (SDSS Isophotal)', 'r (SDSS Isophotal)']",x,x,x,x,[],[],Spiral         BCD,x,x,0.0084,x,x,x,x,x,x,16.4,16.125,15.952,15.988,x,x,x,x,x,x,0.108,0.0496,"['SBS1430+526', 'SBS1430+526A', 'KUG1430+526', 'SDSSJ143233.53+522446.2', 'SDSSJ143233.53+522446.3', 'SDSSJ143233.54+522446.4', 'GALEXMSCJ143233.47+522449.0', 'CG0470', 'ASK302410.0', 'MAPS-NGPO_135_0160125', 'NSA053274', 'PGC051961', '[TTL2012]086162', 'SDSSJ143233.53+522446.6', 'SBS1430+526']"
2MASXJ23112203-2315247,2MASXJ23112203-2315247,0.011345,"(347.84188, -23.25689)","((23, 11, 22.0512), (-23, 15, 24.804))","(37.084789999999998, -67.073070000000001)",3401,3120.40,43.94933392,"['x', 'x', 'x', 'x', 'x']",43.94,4.39,"(35.5, 16.33)","(1.8, 0.82)","(7.564, 3.479)","(0.76, 0.35)",63.0,65.0,2.0,45,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']",x,x,x,x,[],[],x,x,x,0.0205,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,"['2MASXJ23112203-2315247', '2MASXiJ2311220-231525', 'GALEXASCJ231121.88-231524.1', 'DUKST535-017', '6dFJ2311220-231525', 'MRSS535-040404', 'LEDA195134', '2MASXJ23112203-2315247']"
NGC6851A,NGC6851A,0.011347,"(301.45214, -47.97825)","((20, 5, 48.5136), (-47, 58, 41.7))","(351.30523399999998, -31.917573999999998)",3402,3270.42,46.06234596,"[31.6, 31.1, 7.203, 21.7, 41.3]",31.1,7.20,"(82.84, 43.91)","(3.1, 6.9)","(12.49, 6.62)","(3.5, 2.8)",58.0,60.0,6.0,54,"['ESO-LV ""Quick Blue"" IIa-O', 'ESO-LV ""Quick Blue"" IIa-O', 'ESO-LV ""Quick Blue"" IIa-O']",.S..4*/,79.09540431,0.416869383,54,[],[],(R')SB(s)m,TF,LC II-III,0.0472,14.9,B (Cousins) (B_T),14.1,B_J,15.0,B (Cousins) (B_25),x,x,x,x,0.184,0.196,0.361,0.386,0.161,0.173,x,x,"['NGC6851A', 'NGC6861A', 'ESO233-G025', 'ESO200211-4807.3', 'AM2002-480', 'GALEXASCJ200549.06-475840.9', 'SGC200211-4807.3', 'ESO-LV2330250', 'RR311b', 'HIPASSJ2005-47', 'PGC064086', 'NGC6851A']"
UGC04043,UGC04043,0.011348,"(117.69279, 54.36222)","((7, 50, 46.2696), (54, 21, 43.992))","(163.61196899999999, 30.221374000000001)",3402,3517.37,49.54044048,"[70.342, 77.3, 12.902, 52.5, 88.0]",77.3,12.90,"(159.5, 22.33)","(8.0, 1.1)","(59.77, 8.368)","(10.0, 1.4)",82.0,90.0,0.6,5,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']",.S..7..,125.3577679,0.112201845,5,[],[],Sc,TF,LC IV,0.04,13.3,B (m_B^0),13.3,B (m_B^0),14.8,B (m_B),x,x,x,x,4.63,3.56,4.63,3.56,1.21,0.95,x,x,"['UGC04043', 'CGCG262-037', 'CGCG0746.8+5429', 'MCG+09-13-072', 'FGC0665', 'RFGC1265', '2MFGC06220', '2MASXJ07504626+5421439', 'GALEXASCJ075046.32+542141.6', 'IRAS07468+5429', 'IRASF07468+5429', 'PGC021970', 'UZCJ075046.2+542144', 'NVSSJ075046+542145', 'UGC04043']"
NGC3249,NGC3249,0.011348,"(156.59254, -34.96369)","((10, 26, 22.2096), (-34, 57, 49.284))","(272.07220000000001, 19.072004)",3402,3570.63,50.29066154,"[44.8, 44.8, 1.62, 44.8, 44.8]",44.8,1.62,"(108.8, 87.04)","(5.4, 4.4)","(23.63, 18.9)","(0.85, 0.68)",37.0,38.0,5.0,139,"['K_s (2MASS ""total"")', 'POSS1 103a-E', 'ESO-LV ""Quick Blue"" IIa-O']",.SXT6*.,95.09359155,0.812830516,139,[],[],SAB(rs)cd:     HII,TF,LC III-IV,0.0812,13.9,B (Cousins) (B_T),13.3,B (m_B^0),13.9,B (Cousins) (B_25),x,x,x,x,1.07,0.2,1.73,0.29,0.998,0.186,x,x,"['NGC3249', 'ESO375-G024', 'ESO102407-3442.5', 'MCG-06-23-028', '2MASXJ10262222-3457493', 'GALEXASCJ102622.11-345748.4', 'IRAS10240-3442', 'SGC102407-3442.5', 'ESO-LV3750240', '6dFJ1026222-345749', 'LDCE0729NED067', 'HDCE0587NED001', 'AGC027127', 'PGC030657', 'NVSSJ102622-345746', 'AntliaGROUP:[FS90]028', 'LGG203:[G93]001', 'NGC3249']"
IC5063,IC5063,0.011348,"(313.00975, -57.06878)","((20, 52, 2.34), (-57, 4, 7.608))","(339.99116600000002, -38.735639999999997)",3402,3251.70,45.79868105,"[37.867, 32.7, 11.343, 26.1, 58.3]",32.7,11.34,"(118.9, 79.66)","(5.9, 4.0)","(18.85, 12.63)","(6.5, 4.4)",48.0,49.0,4.0,125,"['K_s (2MASS ""total"")', 'ESO-LV ""Quick Blue"" IIa-O', 'K_s (2MASS ""total"")']",.LAS+*.,128.2777254,0.676082975,116,[],[],SA(s)0+:       Sy2,FJ,x,0.0526,12.9,B (Cousins) (B_T),12.6,B (B_T^0),13.2,B (Cousins) (B_25),x,x,x,x,1.25,2.01,1.72,2.74,1.01,1.62,x,x,"['IC5063', 'ESO187-G023', 'ESO204812-5715.5', 'AM2048-571', 'PKS2048-57', '2MASXJ20520232-5704076', 'IRAS20481-5715', 'IRASF20482-5715', 'AKARIJ2052024-570407', 'SGC204812-5715.5', 'ESO-LV1870230', 'RR331a', '6dFJ2052022-570408', '6dFJ2052023-570408', 'LQAC313-057001', 'APMBGC187+042+117', 'APMUKS(BJ)B204812.01-571526.0', 'PGC065600', 'PKSB2048-572', 'PKSJ2052-5704', 'PMNJ2051-5704', 'PMNM204806.1-571518', 'MRC2048-572', 'SUMSSJ205202-570406', 'AT20GJ205202-570407', 'MSH20-507', 'SPT-SJ205202-5704.1', '2PBCJ2052.0-5704', 'PBCJ2052.0-5704', '1AXGJ205201-5703', 'XSSJ20501-5646', 'SWIFTJ2052.0-5703', 'SWIFTJ2052.0-5704', 'SWIFTJ2052.1-5703', '[dML87]512', '[Sdd95]432a', '[VCV2001]J205202.2-570407', '[VCV2006]J205202.2-570407', '[WMR2009]138', '[MSC2011]J205202.25-570409.1', '[BTM2013]1092', '[AHG2014]B071', 'IC5063']"
IRAS04416+2809,IRAS04416+2809,0.011351,"(71.18239, 28.24906)","((4, 44, 43.7736), (28, 14, 56.616))","(172.79202799999999, -11.295932000000001)",3403,3323.48,46.80966274,"['x', 'x', 'x', 'x', 'x']",46.80,4.68,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']",x,x,x,x,[],[],x,x,x,0.7357,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,"['IRAS04416+2809', 'LEDA100769', 'IRAS04416+2809']"
NGC3394,NGC3394,0.011353,"(162.66602, 65.72721)","((10, 50, 39.8448), (65, 43, 37.956))","(140.593887, 47.045721)",3404,3574.91,50.35089231,"[69.083, 65.8, 18.878, 34.9, 85.9]",65.8,18.87,"(148.1, 100.7)","(7.4, 5.0)","(47.25, 32.13)","(14.0, 9.2)",47.0,48.0,4.0,80,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']",.SAT5..,114.3276431,0.741310241,35,[],[],SA(rs)c,TF,LC III,0.0112,12.9,B (m_B^0),12.9,B (m_B^0),13.1,B (m_B),14.1,13.69,13.118,12.848,4.68,6.18,4.68,6.18,3.86,5.14,1.53,2.02,"['NGC3394', 'UGC05937', 'CGCG313-036', 'CGCG1047.2+6559', 'MCG+11-13-041', '2MASXJ10503976+6543377', '2MASXiJ1050392+654338', 'SDSSJ105039.84+654337.9', 'SDSSJ105039.84+654338.0', 'SDSSJ105039.85+654337.9', 'SDSSJ105039.85+654338.2', 'IRAS10473+6559', 'IRASF10473+6559', 'ASK064221.0', 'NSA012788', 'PGC032495', 'SSTSL2J105039.98+654338.1', 'UZCJ105039.9+654338', 'NVSSJ105040+654348', '[PVK2003]J162.66602+65.72722', '[TTL2012]374419', 'NGC3394']"
AGC160545,AGC160545,0.011354,"(98.4125, 26.48472)","((6, 33, 39.0), (26, 29, 4.992))","(187.27994100000001, 8.1396940000000004)",3404,3441.38,48.47020346,"['x', 'x', 'x', 'x', 'x']",48.47,4.84,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']",x,x,x,x,[],[],x,x,x,0.1865,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,"['AGC160545', 'NSA134320', 'HIJ063337.5+262911', 'AGC160545']"
NGC6758,NGC6758,0.011355,"(288.46808, -56.30994)","((19, 13, 52.3392), (-56, 18, 35.784))","(340.57246500000002, -25.318407000000001)",3404,3315.28,46.69414694,"[43.0, 43.6, 8.478, 27.9, 56.0]",43.6,8.47,"(145.9, 119.6)","(7.3, 6.0)","(30.84, 25.29)","(6.0, 4.9)",35.0,36.0,6.0,110,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']",.E+..*.,134.3232683,0.776247117,121,[],[],E+:            LINER,FJ,x,0.0564,12.5,B (Cousins) (B_T),12.3,B (B_T^0),12.8,B (Cousins) (B_25),x,x,x,x,3.23,2.9,3.95,3.54,2.59,2.33,x,x,"['NGC6758', 'ESO184-G037', 'ESO190943-5623.7', '2MASXJ19135231-5618356', 'GALEXASCJ191352.24-561836.4', 'CGS533', 'SGC190943-5623.7', 'ESO-LV1840370', 'LDCE1328NED018', 'HDCE1063NED005', 'PGC062935', 'SUMSSJ191352-561835', 'Str1908-566:[KUH87]103', 'LGG426:[G93]003', '[DZ2015]047-01', 'NGC6758']"
2MASXJ12110805-2435132,2MASXJ12110805-2435132,0.011355,"(182.7835, -24.587)","((12, 11, 8.04), (-24, 35, 13.2))","(291.38290499999999, 37.379286)",3404,3641.29,51.28582647,"['x', 'x', 'x', 'x', 'x']",51.28,5.12,"(19.9, 10.35)","(0.99, 0.52)","(4.948, 2.573)","(0.49, 0.26)",59.0,61.0,2.0,105,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']",x,x,x,x,[],[],x,x,x,0.0715,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,"['2MASXJ12110805-2435132', '6dFJ1211080-243513', 'LEDA788397', '2MASXJ12110805-2435132']"
PGC058608,WKK7198,0.011357,"(249.217, -60.27647)","((16, 36, 52.08), (-60, 16, 35.292))","(327.61463199999997, -8.715052)",3405,3413.77,48.08138592,"['x', 'x', 'x', 'x', 'x']",48.08,4.80,"(81.7, 55.56)","(4.1, 2.8)","(19.04, 12.95)","(1.9, 1.3)",47.0,48.0,4.0,115,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']",.SBR1?.,90.81367491,0.537031796,x,[],[],SA(r)a:,x,LC I,0.1967,14.6,B_J,14.6,B_J,14.6,B_J,x,x,x,x,0.871,0.401,0.871,0.401,0.871,0.401,x,x,"['WKK7198', '2MASXJ16365206-6016347', 'IRAS16324-6010', 'CSRG0806', 'SGC1632.7-6010', 'LDCE1172NED146', 'HIPASSJ1637-60', 'PGC058608', 'WKK7198']"
6dFJ1447005-164601,6dFJ1447005-164601,0.011357,"(221.752, -16.76681)","((14, 47, 0.48), (-16, 46, 0.516))","(338.83607999999998, 37.918661999999998)",3405,3615.04,50.91615282,"['x', 'x', 'x', 'x', 'x']",50.91,5.09,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']",x,x,x,x,[],[],x,x,x,0.0925,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,"['6dFJ1447005-164601', '6dFJ1447005-164601']"
SDSSJ114950.02+221252.2,SDSSJ114950.02+221252.2,0.011357,"(177.45844, 22.21453)","((11, 49, 50.0256), (22, 12, 52.308))","(228.93150800000001, 75.180873000000005)",3405,3697.49,52.07740272,"['x', 'x', 'x', 'x', 'x']",52.07,5.20,"(21.2, 11.45)","(0.33, 1.8)","(5.353, 2.891)","(0.63, 0.8)",57.0,59.0,6.0,82,"['r (SDSS Petrosian)', 'r (SDSS Isophotal)', 'r (SDSS Isophotal)']",x,x,x,x,[],[],Extended Src [SDSS],x,x,0.02,x,x,x,x,x,x,17.4,17.054,16.621,16.233,x,x,x,x,x,x,0.0461,0.0212,"['SDSSJ114950.02+221252.2', 'SDSSJ114950.03+221252.3', 'GALEXASCJ114950.00+221252.7', 'ASK631518.0', 'NSA113718', 'LEDA4297897', '[TTL2012]150673', 'SDSSJ114950.02+221252.2']"
UGC03797,UGC03797,0.011358,"(110.01308, 59.3785)","((7, 20, 3.1392), (59, 22, 42.6))","(157.373997, 26.670024000000002)",3405,3496.86,49.25163319,"['x', 'x', 'x', 'x', 'x']",49.25,4.92,"(74.95, 47.97)","(0.83, 7.0)","(17.9, 11.45)","(2.0, 3.0)",50.0,52.0,7.0,56,"['POSS1 103a-O', 'POSS1 103a-O', 'POSS1 103a-O']",x,x,x,x,[],[],SBc,x,x,0.0558,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,"['UGC03797', 'MCG+10-11-028', 'GALEXASCJ072003.17+592243.0', 'PGC020705', '[RGD2000]J072003.14+592242.6', 'UGC03797']"
H-ATLASJ085920.4+005139,H-ATLASJ085920.4+005139,0.01294,"(134.83533, 0.86087)","((08, 59, 20.48), (+00, 51, 39.1))","(227.98267, 28.56153)",3879,4060.21,57.18606351,"['x', 'x', 'x', 'x', 'x']",57.18,5.71,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']",x,x,x,x,[],[],x,x,x,0.0386,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,"['SDP02627', 'H-ATLASJ085920.4+005139']"
SBS0335-052,SBS0335-052,0.013519,"(54.43359, -5.0445)","((03, 37, 44.061), (-05, 02, 40.19))","(191.344884, -44.693450)",4053,3850.88,54.23788214,"['x', 'x', 'x', 'x', 'x']",54.23,5.42,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']",x,x,x,x,[],[],Wolf-Rayet Galaxy,x,x,0.0402,17.7,b_J,17.7,b_J,17.7,b_J,x,x,x,x,0.04,0.019,0.04,0.019,0.04,0.019,x,x,"['SBS0335-052', 'SBS0335-052E&W', 'SBS0335-052E', 'GALEXASCJ033744.03-050239.0', 'APMUKS(BJ)B033515.06-051226.7', 'LEDA088140', 'SSTSL2J033744.05-050240.3', 'NVSSJ033744-050230', 'CXOJ033744.0-050239', 'CXOCYJ033744.1-050239', 'CXOMPJ033744.0-050240']"
PGC014905,PGC014905,0.018399,"(65.05783, -63.96517)","((4, 20, 13.8792), (-63, 57, 54.612))","(275.80760099999998, -40.476914999999998)",5516,5388.18,75.88990935,"['x', 'x', 'x', 'x', 'x']",75.88,7.58,"(82.9, 14.92)","(4.1, 0.75)","(30.5, 5.49)","(3.1, 0.55)",80.0,90.0,0.7,70,"['K_s (2MASS ""total"")', 'ESO-LV ""Quick Blue"" IIa-O', 'K_s (2MASS ""total"")']",x,x,x,x,[],[],S...,x,x,0.0311,14.7,B (Cousins) (B_26),14.7,B (Cousins) (B_T),14.7,B (Cousins) (B_25),x,x,x,x,1.27,0.593,1.29,0.604,1.23,0.577,x,x,"['ESO084-GA012', 'ESO041944-6405.0', '2MASXJ04201390-6357548', '2MASXiJ0420139-635754', 'GALEXASCJ042013.94-635753.6', 'IRAS04197-6404', 'IRASF04197-6404', 'AKARIJ0420136-635756', 'ESO-LV0842120', 'MRSS084-195262', 'PGC014905', 'SUMSSJ042013-635757', 'PGC014905']"
H-ATLASJ090520.3-000213,H-ATLASJ090520.3-000213,0.019088,"(136.33479, -0.03712)","((09, 05, 20.35), (-00, 02, 13.6))","(229.74772, 29.38021)",5722,5908.14,83.21326277,"['x', 'x', 'x', 'x', 'x']",83.21,8.32,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']",x,x,x,x,[],[],x,x,x,0.0355,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,"['SDP06241', 'H-ATLASJ090520.3-000213']"
SDSSJ130350.49+280315.8,2MASXJ13035047+2803159,0.021011,"(195.9604, 28.05442)","((13, 3, 50.496), (28, 3, 15.912))","(52.268805999999998, 87.100020000000001)",6299,6585.31,92.75084717,"['x', 'x', 'x', 'x', 'x']",92.75,9.27,"(30.4, 12.77)","(1.5, 0.64)","(13.67, 5.741)","(1.4, 0.57)",65.0,68.0,2.0,170,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']",x,x,x,x,[],[],x,x,x,0.0088,x,x,x,x,x,x,17.1,16.677,16.065,15.556,x,x,x,x,x,x,0.19,0.0877,"['2MASXJ13035047+2803159', '2MASXiJ1303504+280315', 'SDSSJ130350.49+280315.8', 'SDSSJ130350.49+280315.9', 'GALEXASCJ130350.67+280315.0', 'GALEXMSCJ130350.56+280316.2', 'ASK580683.0', 'MAPS-NGPO_323_0932583', 'NGP9F323-0936318', 'NSA104268', 'LEDA093704', 'ABELL1656:[GMP83]0743', '[KK90]225', '[TTL2012]353946', '2MASXJ13035047+2803159']"
ISOSSJ00075-7211,PGC000588,0.021171,"(1.90779, -72.19828)","((0, 7, 37.8696), (-72, 11, 53.808))","(307.60518200000001, -44.530233000000003)",6347,6194.00,87.23947785,"['x', 'x', 'x', 'x', 'x']",87.23,8.72,"(71.9, 14.38)","(3.6, 0.72)","(30.41, 6.082)","(3.0, 0.61)",78.0,90.0,0.8,55,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']",x,x,x,x,[],[],S...,x,x,0.0246,15.6,B (Cousins) (B_26),15.6,B (Cousins) (B_T),15.9,B_J (SERC IIIa-J),x,x,x,x,0.679,0.318,0.692,0.324,0.53,0.244,x,x,"['ESO050-GA005', 'ESO000509-7228.6', 'AM0005-722NED02', 'FAIRALL1208', '2MFGC00108', '2MASXJ00073789-7211534', '2MASXiJ0007373-721156', 'IRAS00051-7228', 'IRASF00051-7228', 'ISOSSJ00075-7211', 'ESO-LV0502050', '6dFJ0007379-721154', 'PGC000588', 'SUMSSJ000737-721157', 'SUMSSJ000737-721158', '[SLK2004]0013', 'PGC000588']"
MCG-06-07-003,PGC010291,0.021648,"(40.78646, -32.80197)","((2, 43, 8.7504), (-32, 48, 7.092))","(232.95962, -65.228140999999994)",6490,6249.88,88.02651158,"['x', 'x', 'x', 'x', 'x']",88.02,8.80,"(80.3, 48.18)","(4.0, 2.4)","(34.27, 20.56)","(3.4, 2.1)",53.0,55.0,3.0,5,"['K_s (2MASS ""total"")', 'POSS1 103a-E', 'K_s (2MASS ""total"")']",x,x,x,x,[],[],Sc:,x,x,0.0176,14.3,B (Cousins) (B_T),14.3,B (Cousins) (B_26),14.4,B (Cousins) (B_25),x,x,x,x,2.2,1.03,2.2,1.03,2.14,1.0,x,x,"['ESO356-G009', 'ESO024103-3300.9', 'MCG-06-07-003', '2MASXJ02430874-3248071', '2MASXiJ0243087-324807', 'IRAS02410-3300', 'IRASF02410-3300', 'ESO-LV3560090', '2MIG0323', 'APMBGC356+079-110', 'GSC701400048', 'MRSS356-088258', 'PGC010291', 'NVSSJ024308-324813', 'PGC010291']"
2MASXJ13094664-5753480,2MASXJ13094664-5753480,0.022069,"(197.44417, -57.89675)","((13, 09, 46.60), (-57, 53, 48.3))","(305.375470, 4.888037)",6616,6711.82,94.53280665,"['x', 'x', 'x', 'x', 'x']",94.53,9.45,"(37.3, 28.35)","(1.9, 1.4)","(17.09, 12.99)","(1.7, 1.3)",41.0,42.0,5.0,95,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']",x,x,x,x,[],[],x,x,x,0.3919,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,"['LEDA4584407', '2MASXJ13094664-5753480']"
2MASXJ13105161-5804479,2MASXJ13105161-5804479,0.022502,"(197.71508, -58.08006)","((13, 10, 51.62), (-58, 04, 48.2))","(305.505676, 4.694673)",6746,6840.79,96.34928099,"['x', 'x', 'x', 'x', 'x']",96.34,9.63,"(33.3, 22.64)","(1.7, 1.1)","(15.55, 10.58)","(1.6, 1.1)",47.0,48.0,4.0,40,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']",x,x,x,x,[],[],x,x,x,0.4244,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,"['2MASXJ13105161-5804479', 'LEDA4584409']"
PGC003154,PGC003154,0.022612,"(13.39779, -69.59481)","((0, 53, 35.4696), (-69, 35, 41.316))","(302.65385199999997, -47.532176)",6779,6614.80,93.16624394,"['x', 'x', 'x', 'x', 'x']",93.16,9.31,"(80.2, 16.04)","(4.0, 0.8)","(36.22, 7.245)","(3.6, 0.72)",78.0,90.0,0.8,65,"['K_s (2MASS ""total"")', 'ESO-LV ""Quick Blue"" IIa-O', 'K_s (2MASS ""total"")']",x,x,x,x,[],[],S...,x,x,0.0201,15.6,B (Cousins) (B_26),15.6,B (Cousins) (B_T),15.7,B (Cousins) (B_25),x,x,x,x,0.772,0.361,0.801,0.375,0.737,0.345,x,x,"['ESO051-GA006', 'ESO005144-6951.9', '2MFGC00646', '2MASXJ00533544-6935413', '2MASXiJ0053354-693541', 'GALEXASCJ005335.63-693540.9', 'IRAS00517-6951', 'IRASF00516-6952', 'ESO-LV0512060', '6dFJ0053355-693541', 'MRSS051-215715', 'PGC003154', 'PGC003154']"
2MASXJ03030449+2733462,2MASXJ03030449+2733462,0.023159,"(45.76871, 27.56272)","((03, 03, 04.49), (+27, 33, 45.8))","(155.599388, -26.832235)",6943,6772.58,95.38856251,"['x', 'x', 'x', 'x', 'x']",95.38,9.53,"(23.9, 20.08)","(1.2, 1.0)","(11.05, 9.284)","(1.1, 0.93)",33.0,34.0,6.0,155,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']",x,x,x,x,[],[],x,x,x,0.1591,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,"['2MASXJ03030449+2733462', '2MASXiJ0303044+273346', '2MASXiJ0303045+273346', 'GALEXASCJ030304.42+273346.0', 'ALFALFA2-293', 'AGC131361', 'NSA170254', 'LEDA1811746', 'SSTSL2J030304.58+273344.9']"
2MASXJ06202388-6353506,2MASXJ06202388-6353506,0.02368,"(95.09971, -63.89744)","((06, 20, 23.93), (-63, 53, 50.8))","(273.482522, -27.538569)",7099,7034.92,99.08343214,"['x', 'x', 'x', 'x', 'x']",99.08,9.90,"(50.7, 23.32)","(2.5, 1.2)","(24.35, 11.2)","(2.4, 1.1)",63.0,65.0,2.0,10,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']",x,x,x,x,[],[],x,x,x,0.0394,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,"['2MASXJ06202388-6353506', '2MASXiJ0620238-635350', 'IRAS06200-6352', 'IRASF06201-6352', 'AKARIJ0620241-635350', 'LEDA165459', 'SUMSSJ062022-635350', '[FHS95]A0620-6352']"
2MASXJ13112359-5755471,2MASXJ13112359-5755471,0.02375,"(197.8485, -57.92972)","((13, 11, 23.64), (-57, 55, 47.0))","(305.587963, 4.839147)",7120,7215.46,101.626228,"['x', 'x', 'x', 'x', 'x']",101.62,10.16,"(14.7, 11.76)","(0.73, 0.59)","(7.243, 5.794)","(0.72, 0.58)",37.0,38.0,5.0,40,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']",x,x,x,x,[],[],x,x,x,0.4005,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,"['LEDA4584411', '2MASXJ13112359-5755471']"
2MASXJ13104152-5805140,2MASXJ13104152-5805140,0.024233,"(197.67308, -58.08717)","((13, 10, 41.54), (-58, 05, 13.8))","(305.482923, 4.689253)",7265,7359.78,103.6589543,"['x', 'x', 'x', 'x', 'x']",103.65,10.36,"(31.3, 21.91)","(1.6, 1.1)","(15.73, 11.01)","(1.6, 1.1)",46.0,47.0,4.0,60,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']",x,x,x,x,[],[],x,x,x,0.4297,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,"['2MASXJ13104152-5805140', 'LEDA4584408']"
