oldName,freqTargeted,diameters,dRatio,pa,completeList
PGC031645,"ESO-LV ""Quick Blue"" IIa-O","(22.0, 96.92)",0.23,43.0,"[['ESO-Uppsala ""Quick Blue"" IIa-O', (60.0, 6.0), 0.1, 42.0], ['ESO-LV ""Quick Blue"" IIa-O', (66.07, 660.7), 0.1, 42.0], ['ESO-LV ""Quick Blue"" IIa-O', (92.26, 922.6), 0.1, 42.0], ['ESO-LV ""Quick Blue"" IIa-O', (114.82, 1148.2), 0.1, 42.0], ['ESO-LV ""Quick Blue"" IIa-O', (66.07, 660.7), 0.1, 42.0], ['ESO-LV ""Quick Blue"" IIa-O', (78.52, 785.2), 0.1, 42.0], ['ESO-LV ""Quick Blue"" IIa-O', (96.61, 966.1), 0.1, 42.0], ['ESO-LV ""Quick Blue"" IIa-O', (48.42, 484.2), 0.1, 42.0], ['ESO-LV ""Quick Blue"" IIa-O', (24.27, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (22.0, 96.92), 0.23, 43.0], ['ESO-LV IIIa-F', (20.43, None), None, None]]"
MCG-04-30-013,"K_s (2MASS ""total"")","(55.3, 26.54)",0.48,15.0,"[['K_s (2MASS isophotal)', (30.0, 14.4), 0.48, 15.0], ['K_s (2MASS ""total"")', (55.3, 26.54), 0.48, 15.0], ['POSS1 103a-O', (48.0, 24.0), 0.5, None], ['ESO-Uppsala ""Quick Blue"" IIa-O', (90.0, 42.0), 0.47, 9.0], ['ESO-LV ""Quick Blue"" IIa-O', (58.88, 126.08), 0.47, 9.0], ['ESO-LV ""Quick Blue"" IIa-O', (79.43, 170.09), 0.47, 9.0], ['ESO-LV ""Quick Blue"" IIa-O', (101.16, 216.62), 0.47, 9.0], ['ESO-LV ""Quick Blue"" IIa-O', (42.17, 90.3), 0.47, 9.0], ['ESO-LV ""Quick Blue"" IIa-O', (51.88, 111.09), 0.47, 9.0], ['ESO-LV ""Quick Blue"" IIa-O', (73.28, 156.92), 0.47, 9.0], ['ESO-LV ""Quick Blue"" IIa-O', (31.99, 68.5), 0.47, 9.0], ['ESO-LV ""Quick Blue"" IIa-O', (22.91, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (12.55, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (15.99, 36.67), 0.44, 21.0], ['ESO-LV IIIa-F', (11.01, None), None, None]]"
IC4736,"K_s (2MASS ""total"")","(68.2, 55.92)",0.82,40.0,"[['K_s (2MASS isophotal)', (33.0, 16.5), 0.5, 115.0], ['K_s (2MASS isophotal)', (31.6, 25.91), 0.82, 40.0], ['K_s (2MASS ""total"")', (33.0, 16.5), 0.5, 115.0], ['K_s (2MASS ""total"")', (68.2, 55.92), 0.82, 40.0], ['ESO-Uppsala ""Quick Blue"" IIa-O', (144.0, 78.0), 0.54, 98.0], ['ESO-LV ""Quick Blue"" IIa-O', (89.13, 164.45), 0.54, 98.0], ['ESO-LV ""Quick Blue"" IIa-O', (113.5, 209.41), 0.54, 98.0], ['ESO-LV ""Quick Blue"" IIa-O', (133.35, 246.03), 0.54, 98.0], ['ESO-LV ""Quick Blue"" IIa-O', (66.07, 121.9), 0.54, 98.0], ['ESO-LV ""Quick Blue"" IIa-O', (79.43, 146.55), 0.54, 98.0], ['ESO-LV ""Quick Blue"" IIa-O', (100.0, 184.5), 0.54, 98.0], ['ESO-LV ""Quick Blue"" IIa-O', (44.16, 81.48), 0.54, 98.0], ['ESO-LV ""Quick Blue"" IIa-O', (31.99, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (10.95, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (7.4, 8.33), 0.89, 88.0], ['ESO-LV IIIa-F', (6.16, None), None, None], ['RC3 D_25, R_25 (blue)', (99.6, 55.98), 0.56, 98.0], ['RC3 D_0 (blue)', (117.0, None), None, None]]"
SBS1430+526,r (SDSS Isophotal),"(38.17, 17.32)",0.45,151.0,"[['r (SDSS Isophotal)', (38.17, 17.32), 0.45, 151.0], ['r (SDSS Petrosian)', (9.27, None), None, None], ['r (SDSS de Vaucouleurs)', (17.64, 6.17), 0.35, 154.0], ['r (SDSS Exponential)', (6.04, 2.3), 0.38, 154.0]]"
2MASXJ23112203-2315247,"K_s (2MASS ""total"")","(35.5, 16.33)",0.46,45.0,"[['K_s (2MASS isophotal)', (19.2, 8.83), 0.46, 45.0], ['K_s (2MASS ""total"")', (35.5, 16.33), 0.46, 45.0]]"
NGC6851A,"RC3 D_25, R_25 (blue)","(79.1, 32.98)",0.42,54.0,"[['ESO-Uppsala ""Quick Blue"" IIa-O', (102.0, 54.0), 0.53, 54.0], ['ESO-LV ""Quick Blue"" IIa-O', (84.14, 159.05), 0.53, 54.0], ['ESO-LV ""Quick Blue"" IIa-O', (101.16, 191.23), 0.53, 54.0], ['ESO-LV ""Quick Blue"" IIa-O', (114.82, 217.05), 0.53, 54.0], ['ESO-LV ""Quick Blue"" IIa-O', (64.57, 122.06), 0.53, 54.0], ['ESO-LV ""Quick Blue"" IIa-O', (74.13, 140.13), 0.53, 54.0], ['ESO-LV ""Quick Blue"" IIa-O', (88.1, 166.54), 0.53, 54.0], ['ESO-LV ""Quick Blue"" IIa-O', (51.29, 96.96), 0.53, 54.0], ['ESO-LV ""Quick Blue"" IIa-O', (39.81, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (31.19, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (59.3, 281.04), 0.21, 44.0], ['ESO-LV IIIa-F', (21.66, None), None, None], ['RC3 D_25, R_25 (blue)', (79.1, 32.98), 0.42, 54.0], ['RC3 D_0 (blue)', (80.9, None), None, None]]"
UGC04043,"K_s (2MASS ""total"")","(159.5, 22.33)",0.14,5.0,"[['POSS1 103a-O', (132.0, 12.0), 0.09, 5.0], ['K_s (2MASS isophotal)', (108.4, 15.18), 0.14, 5.0], ['K_s (2MASS ""total"")', (159.5, 22.33), 0.14, 5.0], ['POSS1 103a-O', (120.0, 15.0), 0.12, None], ['RC3 D_25, R_25 (blue)', (125.4, 14.04), 0.11, 5.0], ['RC3 D_0 (blue)', (128.3, None), None, None]]"
NGC3249,"K_s (2MASS ""total"")","(108.8, 97.92)",0.9,0.0,"[['K_s (2MASS isophotal)', (59.0, 53.1), 0.9, 0.0], ['K_s (2MASS ""total"")', (108.8, 97.92), 0.9, 0.0], ['POSS1 103a-E', (90.0, 72.0), 0.8, None], ['ESO-Uppsala ""Quick Blue"" IIa-O', (120.0, 96.0), 0.8, 139.0], ['ESO-LV ""Quick Blue"" IIa-O', (94.41, 118.01), 0.8, 139.0], ['ESO-LV ""Quick Blue"" IIa-O', (110.92, 138.65), 0.8, 139.0], ['ESO-LV ""Quick Blue"" IIa-O', (123.03, 153.79), 0.8, 139.0], ['ESO-LV ""Quick Blue"" IIa-O', (62.37, 77.96), 0.8, 139.0], ['ESO-LV ""Quick Blue"" IIa-O', (73.28, 91.6), 0.8, 139.0], ['ESO-LV ""Quick Blue"" IIa-O', (89.13, 111.41), 0.8, 139.0], ['ESO-LV ""Quick Blue"" IIa-O', (45.71, 57.14), 0.8, 139.0], ['ESO-LV ""Quick Blue"" IIa-O', (40.74, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (15.55, None), None, None], ['ESO-LV ""Quick Blue"" IIa-O', (2.31, 2.67), 0.86, 125.0], ['ESO-LV IIIa-F', (2.06, None), None, None], ['RC3 D_25, R_25 (blue)', (95.1, 77.32), 0.81, 139.0], ['RC3 D_0 (blue)', (101.9, None), None, None]]"
IC5063,x,"('x', 'x')",x,x,['x']
IRAS04416+2809,x,"('x', 'x')",x,x,['x']
