preferredName,oldName,redshift,degreesJ2000RA_Dec,J2000RA_Dec,galacticLong_Lat,rIndependentDistMean_sd_min_max (Mpc),morphology,distanceIndicator,luminosityClass,EBminusV,radialVelocity (km/s),vcorr (km/s),angDiameters (arcsec),linDiameters (kpc),distvcorr (Mpc),inclination (deg),photometry,alternativeNames
PGC003154,PGC003154,0.022612,"(13.39779, -69.59481)","((0, 53, 35.4696), (-69, 35, 41.316))","(302.65385199999997, -47.532176)","('x', 'x', 'x', 'x')",S...,x,x,x,6779.0,6614.8033194108202,"(60.0, 12.0)","(27.100962570862819, 5.420192367409447)",93.166243935363667,78.4630409671845,['x'],"['ESO051-GA006', 'ESO005144-6951.9', '2MFGC00646', '2MASXJ00533544-6935413', '2MASXiJ0053354-693541', 'GALEXASCJ005335.63-693540.9', 'IRAS00517-6951', 'IRASF00516-6952', 'ESO-LV0512060', '6dFJ0053355-693541', 'MRSS051-215715', 'PGC003154', 'PGC003154']"
LEDA1811746,LEDA1811746,x,"(45.76871, 27.56272)","('x', 'x')","('x', 'x')","('x', 'x', 'x', 'x')",x,x,x,x,x,x,"('x', 'x')","('x', 'x')",x,x,['x'],['x']
LEDA165459,LEDA165459,x,"(95.09971, -63.89744)","('x', 'x')","('x', 'x')","('x', 'x', 'x', 'x')",x,x,x,x,x,x,"('x', 'x')","('x', 'x')",x,x,['x'],['x']
LEDA4584411,LEDA4584411,x,"(197.8485, -57.92972)","('x', 'x')","('x', 'x')","('x', 'x', 'x', 'x')",x,x,x,x,x,x,"('x', 'x')","('x', 'x')",x,x,['x'],['x']
LEDA4584408,LEDA4584408,x,"(197.67308, -58.08717)","('x', 'x')","('x', 'x')","('x', 'x', 'x', 'x')",x,x,x,x,x,x,"('x', 'x')","('x', 'x')",x,x,['x'],['x']
PGC013393,PGC013393,0.024826999999999998,"(54.50054, -70.46569)","((3, 38, 0.1296), (-70, 27, 56.484))","(285.890174, -40.702306999999998)","('x', 'x', 'x', 'x')",SB?b,x,x,x,7443.0,7313.9433964106847,"('x', 30.0)","('x', 'x')",103.01328727338992,x,['x'],"['ESO054-GA014', 'ESO033759-7037.6', '2MASXJ03380013-7027565', '2MASXiJ0338001-702756', 'GALEXASCJ033759.87-702757.0', 'IRASF03380-7037', 'ESO-LV0542140', '6dFJ0338001-702757', 'MRSS054-053755', 'PGC013393', 'PGC013393']"
LEDA4585311,LEDA4585311,x,"(210.47742, -56.97717)","('x', 'x')","('x', 'x')","('x', 'x', 'x', 'x')",x,x,x,x,x,x,"('x', 'x')","('x', 'x')",x,x,['x'],['x']
PGC009864,PGC009864,0.027578999999999999,"(38.94925, -74.24194)","((2, 35, 47.82), (-74, 14, 30.984))","(293.82799199999999, -40.989190999999998)","('85.900', 'N/A', '85.900', '85.900')",S...,x,x,x,8268.0,8136.1606680191417,"(60.0, 12.0)","(33.333989702682906, 6.6667977600189996)",114.59381222562172,78.4630409671845,['x'],"['ESO030-GA017', 'ESO023544-7427.6', '2MASXJ02354784-7414310', 'GALEXASCJ023547.83-741431.9', 'IRAS02357-7427', 'IRASF02357-7427', 'ESO-LV0302170', '2MIG0305', '6dFJ0235477-741431', '6dFJ0235478-741431', '6dFGSv01285', 'PGC009864', 'SUMSSJ023549-741420', 'PGC009864']"
[CWF2012]J327.594666-05.74865,[CWF2012]J327.594666-05.74865,x,"(327.59467, -5.74866)","('x', 'x')","('x', 'x')","('x', 'x', 'x', 'x')",x,x,x,x,x,x,"('x', 'x')","('x', 'x')",x,x,['x'],['x']
6dFJ2041595-152748,6dFJ2041595-152748,x,"(310.49771, -15.46342)","('x', 'x')","('x', 'x')","('x', 'x', 'x', 'x')",x,x,x,x,x,x,"('x', 'x')","('x', 'x')",x,x,['x'],['x']
PGC060828,PGC060828,0.02903,"(266.56329, -55.18417)","((17, 46, 15.1896), (-55, 11, 3.012))","(337.21917100000002, -13.401574)","('114.000', 'N/A', '114.000', '114.000')",SB(r)a,x,x,x,8703.0,8677.4938996754045,"(168.0, 114.0)","(99.545174650648136, 67.54850331097046)",122.21822393909021,47.26788995739783,['x'],"['ESO181-GA004', 'ESO174203-5509.8', '2MASXJ17461516-5511032', 'DENISJ174614.9-551103', 'SGC174203-5509.8', '6dFJ1746151-551103', '6dFJ1746152-551103', '6dFGSv08802', 'PGC060828', 'PGC060828']"
QP131,QP131,x,"(3.48133, -35.39406)","('x', 'x')","('x', 'x')","('x', 'x', 'x', 'x')",x,x,x,x,x,x,"('x', 'x')","('x', 'x')",x,x,['x'],['x']
UGC02608S,UGC02612,0.031812,"(48.81079, 41.98067)","((3, 15, 14.5896), (41, 58, 50.412))","(149.58045799999999, -13.330574)","('x', 'x', 'x', 'x')",Scd:,x,LC III-IV,x,9537.0,9420.4564827954073,"(48.0, 42.0)","(30.876617020394303, 27.017039778541385)",132.68248567317474,28.955024371859846,['x'],"['UGC02608S', 'UGC02612', 'CGCG540-065', 'CGCG0311.9+4148', 'MCG+07-07-038', '2MASXJ03151459+4158505', '2MASXiJ0315146+415850', 'PGC012089', 'SSTSL2J031514.56+415850.3', 'UZCJ031514.4+415849', '[WZX98]03117+4151B', 'ABELL0426:[BM99]069', 'UGC02612']"
