preferredName,vcorr (km/s),bestDistance (Mpc),distErr (Mpc),angDiameters (arcsec),angDiameter errors (arcsec),linDiameters (kpc),linDiameter errors (kpc),inc (deg),adjustedInc (deg),incErr (deg),PA (deg),diameterKeys
NGC3249,3570.63,44.8,1.62,"(108.8, 87.04)","(5.4, 4.4)","(23.63, 18.9)","(0.85, 0.68)",37.0,38.0,5.0,139,"['K_s (2MASS ""total"")', 'POSS1 103a-E', 'ESO-LV ""Quick Blue"" IIa-O']"
IC5063,3251.70,32.7,11.34,"(118.9, 79.66)","(5.9, 4.0)","(18.85, 12.63)","(6.5, 4.4)",48.0,49.0,4.0,125,"['K_s (2MASS ""total"")', 'ESO-LV ""Quick Blue"" IIa-O', 'K_s (2MASS ""total"")']"
IRAS04416+2809,3323.48,46.80,4.68,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']"
NGC3394,3574.91,65.8,18.87,"(148.1, 100.7)","(7.4, 5.0)","(47.25, 32.13)","(14.0, 9.2)",47.0,48.0,4.0,80,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']"
AGC160545,3441.38,48.47,4.84,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']"
NGC6758,3315.28,43.6,8.47,"(145.9, 119.6)","(7.3, 6.0)","(30.84, 25.29)","(6.0, 4.9)",35.0,36.0,6.0,110,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']"
2MASXJ12110805-2435132,3641.29,51.28,5.12,"(19.9, 10.35)","(0.99, 0.52)","(4.948, 2.573)","(0.49, 0.26)",59.0,61.0,2.0,105,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']"
PGC058608,3413.77,48.08,4.80,"(81.7, 55.56)","(4.1, 2.8)","(19.04, 12.95)","(1.9, 1.3)",47.0,48.0,4.0,115,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']"
6dFJ1447005-164601,3615.04,50.91,5.09,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']"
SDSSJ114950.02+221252.2,3697.49,52.07,5.20,"(21.2, 11.45)","(0.33, 1.8)","(5.353, 2.891)","(0.63, 0.8)",57.0,59.0,6.0,82,"['r (SDSS Petrosian)', 'r (SDSS Isophotal)', 'r (SDSS Isophotal)']"
UGC03797,3496.86,49.25,4.92,"(74.95, 47.97)","(0.83, 7.0)","(17.9, 11.45)","(2.0, 3.0)",50.0,52.0,7.0,56,"['POSS1 103a-O', 'POSS1 103a-O', 'POSS1 103a-O']"
H-ATLASJ085920.4+005139,4060.21,57.18,5.71,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']"
SBS0335-052,3850.88,54.23,5.42,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']"
PGC014905,5388.18,75.88,7.58,"(82.9, 14.92)","(4.1, 0.75)","(30.5, 5.49)","(3.1, 0.55)",80.0,90.0,0.7,70,"['K_s (2MASS ""total"")', 'ESO-LV ""Quick Blue"" IIa-O', 'K_s (2MASS ""total"")']"
H-ATLASJ090520.3-000213,5908.14,83.21,8.32,"('x', 'x')","('x', 'x')","('x', 'x')","('x', 'x')",x,x,x,x,"['x', 'x', 'x']"
SDSSJ130350.49+280315.8,6585.31,92.75,9.27,"(30.4, 12.77)","(1.5, 0.64)","(13.67, 5.741)","(1.4, 0.57)",65.0,68.0,2.0,170,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']"
ISOSSJ00075-7211,6194.00,87.23,8.72,"(71.9, 14.38)","(3.6, 0.72)","(30.41, 6.082)","(3.0, 0.61)",78.0,90.0,0.8,55,"['K_s (2MASS ""total"")', 'K_s (2MASS ""total"")', 'K_s (2MASS ""total"")']"
MCG-06-07-003,6249.88,88.02,8.80,"(80.3, 48.18)","(4.0, 2.4)","(34.27, 20.56)","(3.4, 2.1)",53.0,55.0,3.0,5,"['K_s (2MASS ""total"")', 'POSS1 103a-E', 'K_s (2MASS ""total"")']"
